Id,Percentage in Operating Systems,Percentage in Algorithms,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Communication skills rating,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,Certifications 1,Certifications 2,reading and writing skills,memory capability score,Interested subjects,interested career area ,Job/Higher Studies?,Type of company want to settle in?,Management or Technical,worked in teams ever?,Introvert,Suggested Job Role
38,66,71,60,93,65,81,78,94,9,8,5,7,4,no,yes,no,shell programming,cloud computing,excellent,poor,hacking,Business process analyst,job,BPA,Management,no,yes,Systems Analyst
39,70,71,84,86,72,79,68,63,8,8,0,4,7,yes,no,no,full stack,system designing,medium,medium,data engineering,testing,job,Finance,Technical,no,yes,Network Security Administrator
40,78,85,85,83,74,82,70,62,10,6,2,1,8,yes,yes,yes,app development,hacking,poor,poor,cloud computing,Business process analyst,job,SAaS services,Technical,yes,no,Data Architect
41,74,67,65,94,83,93,81,84,5,5,1,6,9,yes,yes,yes,python,game development,poor,excellent,Software Engineering,testing,higherstudies,BPA,Technical,no,yes,CRM Technical Developer
42,85,74,69,87,92,71,94,64,5,9,1,1,9,no,yes,no,app development,web technologies,medium,excellent,Software Engineering,cloud computing,job,Web Services,Technical,no,no,Software Developer
43,61,71,82,70,65,65,60,94,5,3,2,6,7,no,yes,yes,machine learning,data science,medium,medium,IOT,security,higherstudies,Cloud Services,Technical,no,no,E-Commerce Analyst
44,71,83,71,85,60,63,93,88,11,7,4,8,1,yes,yes,yes,full stack,web technologies,poor,medium,Software Engineering,Business process analyst,job,SAaS services,Management,yes,no,Technical Services/Help Desk/Tech Support
45,67,83,63,82,71,70,64,78,8,9,0,5,8,yes,yes,no,machine learning,testing,poor,excellent,Management,security,higherstudies,Cloud Services,Technical,yes,no,Systems Analyst
46,76,82,62,94,90,92,79,73,5,5,6,8,4,yes,yes,no,shell programming,testing,poor,medium,networks,Business process analyst,higherstudies,Testing and Maintainance Services,Management,yes,no,Information Technology Auditor
47,69,81,62,60,82,82,75,70,4,7,4,2,9,yes,yes,no,python,testing,poor,excellent,data engineering,security,higherstudies,BPA,Technical,no,no,Network Security Administrator
48,81,83,78,66,63,75,85,78,7,7,6,5,5,no,yes,yes,shell programming,cloud computing,medium,medium,Software Engineering,system developer,job,Finance,Technical,no,yes,Database Manager
49,79,73,91,84,68,82,63,84,9,7,1,3,5,yes,yes,no,python,database security,poor,poor,hacking,cloud computing,job,Product based,Management,yes,yes,Web Developer
50,73,78,75,71,66,92,91,81,10,5,5,9,5,no,no,no,distro making,database security,excellent,poor,Computer Architecture,system developer,job,Service Based,Technical,yes,no,Information Security Analyst
51,69,71,82,88,71,83,93,92,12,2,1,1,5,yes,yes,no,information security,database security,excellent,poor,parallel computing,security,higherstudies,Web Services,Technical,no,no,E-Commerce Analyst
52,75,84,90,77,81,71,63,69,11,4,3,2,4,yes,no,yes,machine learning,cloud computing,poor,medium,hacking,cloud computing,job,SAaS services,Management,no,yes,Technical Services/Help Desk/Tech Support
53,73,69,90,64,60,80,78,78,4,5,0,6,2,yes,yes,no,information security,testing,poor,poor,programming,testing,higherstudies,BPA,Management,yes,no,Applications Developer
54,62,92,84,93,68,88,74,71,6,8,1,4,6,no,yes,yes,information security,database security,medium,medium,hacking,security,higherstudies,Cloud Services,Technical,no,yes,Software Systems Engineer
55,69,73,91,77,60,84,67,73,10,3,5,2,8,no,yes,yes,hadoop,cloud computing,poor,poor,cloud computing,Business process analyst,job,Service Based,Technical,no,yes,CRM Technical Developer
56,69,62,67,71,87,79,60,77,10,6,3,7,8,yes,yes,no,shell programming,system designing,poor,poor,parallel computing,system developer,higherstudies,Finance,Technical,yes,no,Database Manager
57,65,78,93,87,60,85,67,68,8,3,0,4,3,yes,no,no,machine learning,hacking,poor,poor,networks,cloud computing,higherstudies,Cloud Services,Technical,yes,no,Technical Support
58,76,87,67,66,66,80,74,75,5,9,6,1,7,no,no,no,full stack,testing,poor,medium,Management,testing,job,Web Services,Technical,no,no,Database Administrator
59,74,85,72,67,64,62,73,92,9,5,0,7,9,yes,yes,yes,distro making,hacking,excellent,poor,hacking,developer,job,Testing and Maintainance Services,Technical,no,yes,Network Engineer
60,86,63,94,70,67,91,92,93,6,3,4,3,8,yes,no,yes,machine learning,system designing,poor,poor,data engineering,security,job,product development,Technical,no,yes,Mobile Applications Developer
61,64,69,62,63,67,86,66,75,4,7,0,4,4,no,no,no,distro making,testing,poor,excellent,Computer Architecture,developer,job,Web Services,Management,yes,yes,Technical Services/Help Desk/Tech Support
62,93,94,85,68,91,69,78,86,7,2,2,8,7,no,no,yes,full stack,cloud computing,poor,excellent,parallel computing,Business process analyst,job,Finance,Management,no,no,Technical Support
63,94,74,74,65,74,63,85,89,7,6,5,6,5,yes,yes,no,machine learning,game development,medium,medium,Management,security,job,BPA,Technical,yes,no,Information Technology Manager
64,88,62,73,90,80,76,67,70,10,1,3,6,5,yes,no,no,r programming,web technologies,poor,poor,Management,developer,higherstudies,Cloud Services,Management,yes,yes,E-Commerce Analyst
65,76,91,66,84,87,61,79,64,10,2,5,1,8,yes,no,no,python,data science,medium,medium,cloud computing,security,job,Service Based,Management,no,yes,Software Developer
66,80,75,75,85,62,74,70,61,9,8,2,1,8,no,no,no,information security,cloud computing,excellent,poor,Computer Architecture,cloud computing,job,BPA,Management,no,yes,Solutions Architect
67,75,74,90,94,86,64,75,70,8,3,5,4,3,no,yes,yes,python,database security,medium,excellent,data engineering,system developer,higherstudies,Web Services,Management,yes,no,Software Systems Engineer
68,69,67,80,84,67,76,80,76,12,7,0,4,6,no,yes,yes,hadoop,testing,medium,poor,data engineering,security,job,Cloud Services,Management,yes,no,Network Engineer
69,83,84,70,64,83,90,61,83,8,3,2,7,4,yes,no,no,r programming,cloud computing,excellent,medium,networks,system developer,job,Service Based,Management,yes,yes,Technical Support
70,88,72,90,70,75,77,81,67,4,6,0,9,7,yes,no,yes,hadoop,web technologies,poor,poor,IOT,developer,higherstudies,Service Based,Technical,yes,no,Information Technology Manager
71,83,66,68,74,66,81,71,94,5,7,0,6,3,no,no,yes,information security,web technologies,poor,excellent,programming,security,job,Cloud Services,Technical,no,no,Software Engineer
72,83,68,61,70,75,74,92,75,5,4,5,6,1,yes,no,yes,information security,system designing,poor,medium,hacking,testing,higherstudies,product development,Management,yes,no,Software Developer
73,89,89,63,75,86,87,63,63,5,5,4,7,8,no,yes,no,python,testing,medium,excellent,IOT,Business process analyst,higherstudies,Cloud Services,Management,yes,yes,Programmer Analyst
74,90,61,93,90,85,85,66,78,9,1,4,6,9,no,no,no,machine learning,system designing,excellent,poor,cloud computing,testing,higherstudies,Service Based,Management,yes,no,CRM Business Analyst
75,91,62,87,64,68,90,73,94,7,9,6,4,2,yes,yes,no,machine learning,cloud computing,excellent,poor,Computer Architecture,security,job,Service Based,Technical,no,yes,Software Developer
76,66,69,81,80,90,81,71,73,6,5,6,3,1,yes,no,no,r programming,web technologies,medium,medium,parallel computing,system developer,job,Web Services,Management,no,no,Business Intelligence Analyst
77,61,74,81,80,93,90,94,80,10,2,3,4,8,no,no,no,r programming,system designing,medium,poor,data engineering,testing,job,Web Services,Technical,no,no,Database Administrator
78,92,74,68,84,63,88,89,69,8,6,3,4,5,no,yes,no,distro making,game development,poor,excellent,IOT,testing,job,Service Based,Management,yes,no,Technical Engineer
79,64,74,73,68,76,62,82,63,10,5,2,7,3,yes,no,no,app development,testing,excellent,poor,Management,developer,higherstudies,Cloud Services,Technical,no,no,Data Architect
80,72,85,88,91,88,78,91,83,8,5,6,1,9,yes,yes,yes,app development,testing,medium,medium,IOT,developer,higherstudies,Sales and Marketing,Technical,yes,yes,Network Security Engineer
81,74,86,84,66,84,62,69,79,5,6,0,3,4,yes,no,no,full stack,cloud computing,excellent,excellent,parallel computing,security,higherstudies,Testing and Maintainance Services,Management,no,no,CRM Technical Developer
82,88,80,91,66,84,61,62,85,6,7,0,3,1,yes,no,yes,app development,system designing,excellent,excellent,Management,system developer,higherstudies,BPA,Technical,yes,no,Software Developer
83,76,75,86,94,84,64,92,65,12,9,0,6,3,yes,yes,yes,machine learning,system designing,medium,medium,data engineering,security,job,Testing and Maintainance Services,Technical,no,yes,Systems Security Administrator
84,73,68,92,87,65,94,90,66,11,7,0,8,4,yes,yes,yes,distro making,testing,excellent,excellent,Computer Architecture,cloud computing,job,Sales and Marketing,Technical,no,no,Network Engineer
85,63,61,91,78,83,76,66,61,11,6,0,1,1,yes,no,no,shell programming,hacking,medium,excellent,Management,testing,higherstudies,Finance,Management,yes,yes,Technical Services/Help Desk/Tech Support
86,60,64,93,81,89,81,63,68,7,8,3,9,1,no,no,no,machine learning,database security,poor,poor,Computer Architecture,testing,higherstudies,Web Services,Technical,no,no,Systems Security Administrator
87,76,93,63,86,88,88,93,78,9,4,5,5,2,yes,yes,yes,hadoop,web technologies,poor,medium,IOT,security,higherstudies,BPA,Management,yes,yes,Web Developer
88,72,92,67,64,83,60,87,84,8,9,0,1,6,no,yes,no,full stack,hacking,poor,poor,Software Engineering,testing,higherstudies,Service Based,Technical,no,no,Portal Administrator
89,85,67,91,64,92,84,83,75,5,6,5,6,8,yes,yes,no,full stack,game development,poor,excellent,Computer Architecture,system developer,job,SAaS services,Management,yes,no,Software Developer
90,81,84,71,88,60,75,93,74,11,3,3,7,8,no,no,yes,distro making,data science,medium,excellent,parallel computing,Business process analyst,higherstudies,BPA,Management,no,yes,Network Security Engineer
91,82,65,93,72,73,67,83,72,5,2,3,4,4,yes,no,yes,machine learning,cloud computing,excellent,excellent,networks,system developer,job,BPA,Technical,no,yes,Solutions Architect
92,74,69,77,75,76,81,94,83,5,7,6,7,8,no,yes,no,shell programming,cloud computing,poor,excellent,hacking,developer,job,product development,Management,yes,yes,Network Security Administrator
93,70,64,76,76,88,71,75,60,12,9,1,7,6,no,yes,yes,app development,hacking,excellent,excellent,data engineering,cloud computing,job,Service Based,Management,yes,yes,Portal Administrator
94,71,67,65,68,61,72,86,86,7,5,5,6,3,no,yes,yes,shell programming,cloud computing,excellent,poor,IOT,security,job,Sales and Marketing,Technical,no,no,UX Designer
95,77,92,91,83,65,84,61,73,4,1,2,8,2,yes,no,yes,app development,system designing,medium,poor,Management,cloud computing,job,BPA,Management,yes,no,Project Manager
96,60,85,91,66,86,79,63,64,10,1,3,7,2,no,yes,no,hadoop,data science,medium,poor,parallel computing,cloud computing,higherstudies,SAaS services,Management,yes,no,Project Manager
97,91,94,84,65,71,72,81,81,5,2,0,2,3,yes,no,yes,distro making,game development,excellent,poor,Management,cloud computing,job,Finance,Technical,yes,yes,Network Engineer
98,66,67,67,80,85,68,90,82,7,2,6,2,5,no,no,yes,machine learning,game development,excellent,excellent,cloud computing,Business process analyst,job,Product based,Management,no,no,Quality Assurance Associate
99,71,85,87,69,80,64,70,93,6,7,6,4,3,no,no,yes,shell programming,testing,excellent,medium,Management,system developer,higherstudies,Cloud Services,Technical,no,yes,Applications Developer
100,82,69,80,72,94,60,66,67,8,2,1,8,8,no,yes,yes,shell programming,game development,excellent,excellent,hacking,system developer,job,product development,Management,yes,no,Technical Engineer
101,81,91,69,86,74,80,70,68,6,2,3,2,8,no,no,no,distro making,testing,excellent,medium,networks,security,job,BPA,Management,yes,yes,Network Security Administrator
102,73,60,70,88,80,94,81,66,5,8,5,7,6,yes,no,yes,full stack,web technologies,medium,excellent,Management,cloud computing,higherstudies,Testing and Maintainance Services,Management,yes,no,CRM Technical Developer
103,81,79,79,71,84,81,61,71,10,7,1,3,7,no,yes,yes,python,data science,medium,poor,Management,developer,job,Service Based,Technical,yes,yes,E-Commerce Analyst
104,60,77,94,94,84,70,64,86,6,3,4,1,3,yes,no,yes,information security,hacking,excellent,excellent,parallel computing,developer,job,Testing and Maintainance Services,Management,no,yes,Software Quality Assurance (QA) / Testing
105,78,62,92,67,76,74,71,76,12,2,3,7,1,yes,yes,no,machine learning,hacking,poor,medium,hacking,cloud computing,job,Cloud Services,Technical,yes,yes,Network Security Administrator
106,91,76,64,88,90,87,88,69,12,8,4,1,8,no,yes,yes,r programming,cloud computing,poor,poor,networks,testing,job,Finance,Management,no,yes,Network Engineer
107,92,69,67,83,74,94,66,77,7,9,5,8,8,yes,yes,yes,information security,database security,poor,poor,programming,Business process analyst,job,SAaS services,Technical,no,no,Technical Engineer
108,81,64,82,76,71,73,74,65,7,7,5,1,7,no,no,yes,machine learning,system designing,poor,poor,parallel computing,system developer,higherstudies,Web Services,Management,yes,yes,Systems Security Administrator
109,78,90,84,82,75,76,65,82,6,2,2,5,6,no,yes,yes,python,data science,medium,medium,Computer Architecture,testing,job,BPA,Management,yes,yes,Design & UX
110,83,67,86,85,68,89,93,94,4,8,5,8,6,yes,yes,yes,app development,web technologies,poor,poor,Computer Architecture,testing,job,Sales and Marketing,Management,yes,no,Database Administrator
111,69,91,70,86,91,89,81,71,4,8,6,1,9,no,yes,yes,hadoop,data science,poor,excellent,parallel computing,cloud computing,higherstudies,Cloud Services,Management,yes,no,Programmer Analyst
112,63,93,61,82,74,87,84,65,4,6,3,4,3,no,no,yes,python,cloud computing,excellent,poor,programming,testing,job,SAaS services,Technical,yes,no,Software Quality Assurance (QA) / Testing
113,77,86,84,90,77,93,66,83,7,6,5,4,7,no,yes,yes,machine learning,data science,excellent,excellent,networks,system developer,job,Finance,Management,no,no,CRM Business Analyst
114,69,72,62,66,94,68,78,69,12,6,2,1,9,no,no,yes,shell programming,game development,poor,medium,Management,testing,job,Web Services,Technical,yes,no,Database Manager
115,73,90,66,86,61,81,94,71,6,6,0,3,4,no,yes,yes,python,database security,excellent,medium,hacking,developer,job,product development,Management,no,yes,Software Developer
116,65,73,77,61,92,72,63,90,6,4,1,7,3,yes,yes,yes,python,data science,poor,excellent,Management,testing,higherstudies,Product based,Management,yes,no,Solutions Architect
117,77,70,80,70,86,93,66,67,12,8,5,7,6,no,no,no,shell programming,data science,medium,excellent,Software Engineering,security,higherstudies,Product based,Management,no,no,Information Security Analyst
118,64,67,71,71,64,67,93,67,10,7,3,1,1,no,no,yes,machine learning,web technologies,medium,medium,Software Engineering,cloud computing,higherstudies,Cloud Services,Management,no,yes,Network Security Engineer
119,67,86,70,76,61,66,70,81,11,1,5,2,8,no,yes,yes,information security,cloud computing,excellent,excellent,programming,cloud computing,higherstudies,Service Based,Technical,no,no,Network Engineer
120,83,68,77,60,85,74,61,62,4,6,0,6,3,yes,no,no,shell programming,database security,medium,excellent,Software Engineering,security,job,Finance,Technical,no,no,Technical Support
121,81,60,85,78,62,81,63,69,11,3,3,2,2,no,yes,yes,information security,game development,medium,excellent,Computer Architecture,security,job,Sales and Marketing,Management,no,yes,Systems Analyst
122,88,76,84,61,65,61,70,78,11,7,6,3,5,no,yes,yes,r programming,data science,medium,medium,IOT,security,job,Service Based,Technical,no,yes,Information Technology Auditor
123,72,76,91,72,62,64,62,62,12,7,0,4,3,yes,no,no,hadoop,system designing,medium,excellent,parallel computing,developer,higherstudies,Service Based,Management,no,yes,CRM Technical Developer
124,85,89,83,66,85,79,75,81,5,3,1,7,6,no,yes,no,python,cloud computing,poor,poor,Software Engineering,developer,job,Sales and Marketing,Technical,no,yes,Technical Services/Help Desk/Tech Support
125,90,80,62,81,68,60,64,69,5,9,3,1,9,yes,yes,yes,python,hacking,poor,poor,cloud computing,developer,higherstudies,SAaS services,Technical,no,no,Software Quality Assurance (QA) / Testing
126,69,82,79,93,74,94,89,62,7,7,0,3,9,yes,no,yes,shell programming,system designing,excellent,excellent,cloud computing,Business process analyst,job,SAaS services,Management,no,no,Business Systems Analyst
127,66,93,82,70,74,90,63,91,6,2,2,6,6,no,no,yes,r programming,data science,poor,medium,hacking,testing,job,BPA,Management,no,yes,Technical Engineer
128,87,69,79,72,66,64,60,66,11,7,4,3,5,no,yes,yes,hadoop,web technologies,medium,excellent,Computer Architecture,system developer,job,SAaS services,Technical,yes,yes,Technical Support
129,83,74,88,86,63,89,62,84,12,3,5,5,9,no,no,no,hadoop,database security,medium,medium,Computer Architecture,cloud computing,job,Finance,Technical,yes,no,Information Technology Auditor
130,60,82,84,80,81,73,90,82,5,9,2,6,6,yes,yes,no,information security,web technologies,excellent,medium,parallel computing,system developer,job,Web Services,Technical,yes,yes,Network Security Administrator
131,71,93,64,69,60,73,94,80,7,1,6,6,8,no,yes,yes,hadoop,hacking,poor,excellent,networks,system developer,job,Service Based,Management,yes,no,Information Technology Manager
132,89,92,87,67,63,92,70,70,7,4,0,3,1,no,no,no,shell programming,testing,excellent,medium,cloud computing,system developer,higherstudies,Cloud Services,Management,no,no,Web Developer
133,91,75,69,60,73,70,76,73,7,7,2,8,6,yes,yes,yes,r programming,web technologies,poor,excellent,networks,cloud computing,higherstudies,SAaS services,Technical,no,no,Business Systems Analyst
134,61,65,88,72,60,68,76,62,9,6,0,2,1,no,no,no,distro making,game development,excellent,poor,Management,Business process analyst,job,Sales and Marketing,Technical,yes,no,Systems Analyst
135,83,68,88,81,62,67,63,76,7,5,2,5,4,yes,no,no,information security,database security,medium,excellent,hacking,system developer,job,Product based,Technical,no,yes,Web Developer
136,93,87,88,73,68,94,76,81,7,7,0,8,8,yes,no,yes,machine learning,database security,poor,medium,Software Engineering,system developer,job,Finance,Management,no,no,Solutions Architect
137,66,88,65,78,84,65,69,65,9,3,6,1,2,no,no,yes,information security,data science,medium,excellent,cloud computing,Business process analyst,job,Product based,Technical,no,yes,UX Designer
138,65,79,84,79,74,76,74,64,8,7,6,3,6,no,yes,yes,full stack,hacking,excellent,medium,programming,developer,job,Web Services,Technical,yes,no,Network Engineer
139,83,84,60,88,93,92,85,84,6,2,3,9,1,yes,no,yes,information security,testing,excellent,poor,data engineering,Business process analyst,job,product development,Technical,no,no,Applications Developer
140,91,83,89,87,94,84,75,63,7,8,5,1,4,no,yes,yes,app development,cloud computing,excellent,excellent,Management,security,higherstudies,Finance,Technical,no,no,Project Manager
141,84,67,64,76,62,81,74,94,12,3,1,8,1,no,no,no,machine learning,system designing,medium,excellent,hacking,cloud computing,job,Web Services,Management,no,no,UX Designer
142,90,74,69,70,70,93,92,67,4,1,4,7,6,yes,yes,no,shell programming,data science,medium,medium,data engineering,testing,higherstudies,Product based,Technical,yes,no,Database Administrator
143,79,80,73,87,87,60,80,87,12,1,1,1,4,no,yes,yes,shell programming,web technologies,excellent,excellent,programming,security,job,Cloud Services,Management,no,yes,Information Technology Auditor
144,82,79,70,66,65,89,73,64,10,2,0,1,4,yes,no,no,hadoop,testing,poor,poor,networks,security,job,product development,Management,yes,no,Database Developer
145,77,92,67,82,81,94,73,80,10,2,4,7,7,yes,yes,no,hadoop,database security,poor,excellent,hacking,system developer,job,BPA,Technical,yes,yes,Database Manager
146,94,85,74,60,72,67,78,88,12,7,1,9,3,no,yes,no,information security,system designing,medium,excellent,IOT,testing,higherstudies,Sales and Marketing,Technical,no,yes,Software Systems Engineer
147,86,89,74,73,74,81,76,91,9,5,1,9,4,no,yes,no,app development,hacking,medium,medium,Computer Architecture,developer,higherstudies,SAaS services,Management,yes,yes,UX Designer
148,63,87,92,70,84,63,60,93,6,3,0,1,8,no,yes,no,shell programming,database security,excellent,excellent,parallel computing,developer,job,Web Services,Management,no,no,Solutions Architect
149,74,76,91,76,72,93,84,83,12,1,5,9,4,yes,no,no,app development,game development,poor,medium,programming,cloud computing,job,Sales and Marketing,Management,yes,yes,Project Manager
150,65,68,70,79,80,92,79,89,10,2,1,6,1,yes,no,yes,machine learning,web technologies,poor,excellent,parallel computing,Business process analyst,higherstudies,SAaS services,Management,no,yes,Network Engineer
151,92,81,77,74,63,94,92,62,10,8,1,6,9,yes,yes,no,information security,hacking,excellent,excellent,cloud computing,security,higherstudies,Finance,Technical,no,no,E-Commerce Analyst
152,74,73,88,72,66,69,67,92,5,6,4,8,4,yes,yes,no,information security,database security,medium,poor,networks,testing,job,Sales and Marketing,Management,no,yes,Business Systems Analyst
153,85,88,78,82,71,65,76,66,5,8,1,7,9,no,yes,no,full stack,system designing,medium,medium,programming,system developer,job,Sales and Marketing,Management,no,no,E-Commerce Analyst
154,63,64,84,63,90,83,90,89,6,9,2,1,6,yes,yes,no,shell programming,system designing,poor,medium,IOT,Business process analyst,job,Finance,Technical,no,no,Systems Security Administrator
155,61,69,64,91,82,86,66,68,6,2,0,4,3,no,no,no,app development,system designing,medium,excellent,programming,testing,job,SAaS services,Technical,yes,yes,Mobile Applications Developer
156,60,84,93,76,86,85,91,75,11,9,1,6,7,yes,no,yes,machine learning,cloud computing,excellent,poor,networks,security,higherstudies,SAaS services,Management,no,yes,Business Systems Analyst
157,92,89,85,71,72,86,65,88,4,4,0,8,6,yes,no,yes,python,hacking,poor,poor,data engineering,system developer,job,Cloud Services,Technical,no,no,Quality Assurance Associate
